fare_id,route_id,origin_id,destination_id
1000,40,12_02,169_02
1000,40,12_02,170_02
1000,40,169_02,138_01
1000,40,169_02,139_02
1000,40,170_02,138_01
1000,40,170_02,139_02
1000,40,175_02,140_02
1000,40,175_02,141_02
1000,40,175_02,142_02
1000,40,175_02,143_02
1000,40,176_02,140_02
1000,40,176_02,141_02
1000,40,176_02,142_02
1000,40,176_02,143_02
1000,40,177_01,140_02
1000,40,177_01,141_02
1000,40,177_01,142_02
1000,40,177_01,143_02
1000,40,178_02,147_02
1000,40,178_02,148_01
1000,40,178_02,149_02
1000,40,179_02,147_02
1000,40,179_02,148_01
1000,40,179_02,149_02
1000,40,180_02,150_02
1000,40,181_02,150_02
1000,40,181_04,151_02
1000,40,181_04,152_02
1000,40,181_04,153_02
1000,40,182_02,150_02
1000,40,183_02,150_02
1000,40,184_02,150_02
1000,40,185_02,150_02
1000,40,186_02,151_02
1000,40,186_02,152_02
1000,40,186_02,153_02
1000,40,187_02,151_02
1000,40,187_02,152_02
1000,40,187_02,153_02
1000,40,189_02,159_02
1000,40,198_02,165_02
1000,40,230_02,151_02
1000,40,230_02,152_02
1000,40,230_02,153_02
1000,40,338_01,151_02
1000,40,338_01,152_02
1000,40,338_01,153_02
1000,402,138_01,169_01
1000,402,138_01,170_01
1000,402,139_01,169_01
1000,402,139_01,170_01
1000,402,140_01,175_01
1000,402,140_01,176_01
1000,402,140_01,177_01
1000,402,141_01,175_01
1000,402,141_01,176_01
1000,402,141_01,177_01
1000,402,142_01,175_01
1000,402,142_01,176_01
1000,402,142_01,177_01
1000,402,143_01,175_01
1000,402,143_01,176_01
1000,402,143_01,177_01
1000,402,147_01,178_01
1000,402,147_01,179_01
1000,402,148_01,178_01
1000,402,148_01,179_01
1000,402,149_01,178_01
1000,402,149_01,179_01
1000,402,150_01,180_01
1000,402,150_01,181_01
1000,402,150_01,182_01
1000,402,150_01,183_01
1000,402,150_01,184_01
1000,402,150_01,185_01
1000,402,151_01,181_03
1000,402,151_01,186_01
1000,402,151_01,187_01
1000,402,151_01,230_01
1000,402,151_01,338_02
1000,402,152_01,181_03
1000,402,152_01,186_01
1000,402,152_01,187_01
1000,402,152_01,230_01
1000,402,152_01,338_02
1000,402,153_01,181_03
1000,402,153_01,186_01
1000,402,153_01,187_01
1000,402,153_01,230_01
1000,402,153_01,338_02
1000,402,159_01,189_01
1000,402,165_02,198_01
1000,402,169_01,12_03
1000,402,170_01,12_03
1010,40,1_01,165_02
1010,40,1_02,165_02
1010,40,190_02,159_02
1010,40,191_02,161_01
1010,40,192_02,161_01
1010,40,193_02,162_02
1010,40,194_02,162_02
1010,40,199_01,165_02
1010,40,199_02,165_02
1010,40,2_02,165_02
1010,40,200_01,165_02
1010,40,200_02,165_02
1010,40,201_01,165_02
1010,40,202_02,167_02
1010,40,203_02,168_02
1010,40,204_02,168_02
1010,40,231_01,165_02
1010,40,3_02,165_02
1010,40,4_02,165_02
1010,40,5_02,165_02
1010,40,6_02,165_02
1010,40,7_02,165_02
1010,402,159_01,190_01
1010,402,161_01,191_01
1010,402,161_01,192_01
1010,402,162_01,193_01
1010,402,162_01,194_01
1010,402,165_02,1_01
1010,402,165_02,1_02
1010,402,165_02,199_01
1010,402,165_02,199_02
1010,402,165_02,2_01
1010,402,165_02,200_01
1010,402,165_02,200_02
1010,402,165_02,201_01
1010,402,165_02,3_01
1010,402,165_02,4_01
1010,402,165_02,5_01
1010,402,165_02,6_01
1010,402,165_02,7_01
1010,402,167_01,202_01
1010,402,168_01,203_01
1010,402,168_01,204_01
1020,40,188_02,154_02
1020,40,188_02,155_02
1020,40,188_02,156_01
1020,40,188_02,157_02
1020,40,195_02,163_02
1020,40,196_02,163_02
1020,40,197_02,163_02
1020,402,154_01,188_01
1020,402,155_01,188_01
1020,402,156_01,188_01
1020,402,157_01,188_01
1020,402,163_02,195_01
1020,402,163_02,196_01
1020,402,163_02,197_01
1020,40G,131_01,117_01
1020,40G,131_01,118_02
1020,40G,131_01,119_02
1020,40G,131_01,120_02
1020,40G,132_01,117_01
1020,40G,132_01,118_02
1020,40G,132_01,119_02
1020,40G,132_01,120_02
1030,1,204_02,167_02
1030,102,167_01,204_01
1030,40,10_02,168_02
1030,40,11_02,168_02
1030,40,171_02,138_01
1030,40,171_02,139_02
1030,40,172_02,138_01
1030,40,172_02,139_02
1030,40,180_02,147_02
1030,40,180_02,148_01
1030,40,180_02,149_02
1030,40,181_02,147_02
1030,40,181_02,148_01
1030,40,181_02,149_02
1030,40,182_02,147_02
1030,40,182_02,148_01
1030,40,182_02,149_02
1030,40,183_02,147_02
1030,40,183_02,148_01
1030,40,183_02,149_02
1030,40,184_02,147_02
1030,40,184_02,148_01
1030,40,184_02,149_02
1030,40,185_02,147_02
1030,40,185_02,148_01
1030,40,185_02,149_02
1030,40,189_02,158_02
1030,40,198_02,164_02
1030,40,203_02,167_02
1030,40,204_02,167_02
1030,40,9_02,168_02
1030,402,138_01,171_01
1030,402,138_01,172_01
1030,402,139_01,171_01
1030,402,139_01,172_01
1030,402,147_01,180_01
1030,402,147_01,181_01
1030,402,147_01,182_01
1030,402,147_01,183_01
1030,402,147_01,184_01
1030,402,147_01,185_01
1030,402,148_01,180_01
1030,402,148_01,181_01
1030,402,148_01,182_01
1030,402,148_01,183_01
1030,402,148_01,184_01
1030,402,148_01,185_01
1030,402,149_01,180_01
1030,402,149_01,181_01
1030,402,149_01,182_01
1030,402,149_01,183_01
1030,402,149_01,184_01
1030,402,149_01,185_01
1030,402,158_01,189_01
1030,402,164_01,198_01
1030,402,167_01,203_01
1030,402,167_01,204_01
1030,402,168_01,10_01
1030,402,168_01,11_01
1030,402,168_01,9_03
1040,40,1_01,164_02
1040,40,1_02,164_02
1040,40,10_02,167_02
1040,40,11_02,167_02
1040,40,118_01,165_02
1040,40,119_01,165_02
1040,40,120_01,165_02
1040,40,178_02,140_02
1040,40,178_02,141_02
1040,40,178_02,142_02
1040,40,178_02,143_02
