stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
202_01,,東五番町,,40.606353,141.224816,202_01,,0,
202_02,,東五番町,,40.606321,141.22489,202_02,,0,
203_01,,東十五番町,,40.608167,141.228799,203_01,,0,
203_02,,東十五番町,,40.608095,141.228832,203_02,,0,
204_01,,日の出町,,40.609594,141.231985,204_01,,0,
204_02,,日の出町,,40.609502,141.231973,204_02,,0,
205_01,,東池ノ平,,40.67338,141.182412,205_01,,0,
205_02,,東池ノ平,,40.673272,141.182353,205_02,,0,
206_01,,西芋久保,,40.676204,141.188723,206_01,,0,
206_02,,西芋久保,,40.676867,141.189764,206_02,,0,
207_01,,芋久保,,40.678888,141.195239,207_01,,0,
207_02,,芋久保,,40.678919,141.194933,207_02,,0,
208_01,,大沢田本村,,40.671843,141.206089,208_01,,0,
208_02,,大沢田本村,,40.67201,141.206031,208_02,,0,
209_01,,大沢田入口,,40.667487,141.207203,209_01,,0,
209_02,,大沢田入口,,40.667321,141.207278,209_02,,0,
210_01,,洞内本村,,40.662865,141.198987,210_01,,0,
210_02,,洞内本村,,40.66287,141.198942,210_02,,0,
211_01,,法身塚通,,40.660737,141.196691,211_01,,0,
211_02,,法身塚通,,40.660759,141.196677,211_02,,0,
212_01,,新青森駅,,40.828196,140.694779,212_01,,0,
213_01,,新町二丁目（青森）,,40.825586,140.744584,213_01,,0,
213_02,,新町二丁目（青森）,,40.825772,140.744614,213_02,,0,
214_01,,県庁通,,40.826312,140.740597,214_01,,0,
214_02,,県庁通,,40.826209,140.742119,214_02,,0,
215_01,,青森駅前,,40.828182,140.734996,215_01,,0,
216_01,,市役所前（青森）,,40.823221,140.746798,216_01,,0,
216_02,,市役所前（青森）,,40.822979,140.747025,216_02,,0,
217_01,,ＮＴＴ青森支店前,,40.823586,140.751161,217_01,,0,
217_02,,ＮＴＴ青森支店前,,40.823294,140.75102,217_02,,0,
218_01,,文化会館前,,40.82394,140.755465,218_01,,0,
218_02,,文化会館前,,40.823638,140.755248,218_02,,0,
219_01,,堤橋,,40.824316,140.760732,219_01,,0,
219_02,,堤橋,,40.824044,140.760364,219_02,,0,
220_01,,栄町二丁目,,40.825344,140.769874,220_01,,0,
220_02,,栄町二丁目,,40.825143,140.770065,220_02,,0,
221_01,,岡造道一丁目,,40.827062,140.778439,221_01,,0,
221_02,,岡造道一丁目,,40.827686,140.782696,221_02,,0,
222_01,,南造道,,40.828182,140.789923,222_01,,0,
222_02,,南造道,,40.828096,140.789413,222_02,,0,
223_01,,県病通,,40.827125,140.7955,223_01,,0,
223_02,,県病通,,40.826951,140.795412,223_02,,0,
224_01,,八重田通り,,40.82672,140.798406,224_01,,0,
224_02,,八重田通り,,40.826548,140.798121,224_02,,0,
225_01,,東跨線橋,,40.828503,140.80868,225_01,,0,
225_02,,東跨線橋,,40.828285,140.808438,225_02,,0,
226_01,,後萢通,,40.829555,140.813483,226_01,,0,
226_02,,後萢通,,40.829426,140.813697,226_02,,0,
227_01,,農協通り,,40.830335,140.819224,227_01,,0,
227_02,,農協通り,,40.830207,140.819261,227_02,,0,
228_01,,諏訪沢入口,,40.828946,140.824055,228_01,,0,
228_02,,諏訪沢入口,,40.82882,140.823857,228_02,,0,
229_01,,滝沢入口,,40.826308,140.857315,229_01,,0,
229_02,,滝沢入口,,40.826095,140.857424,229_02,,0,
230_01,,七高入口,,40.691615,141.160412,230_01,,0,
230_02,,七高入口,,40.692247,141.16055,230_02,,0,
231_01,,駅通,,40.621903,141.208528,231_01,,0,
3_01,,八丁目,,40.618157,141.210956,3_01,,0,
3_02,,八丁目,,40.616931,141.211703,3_02,,0,
338_01,,下川向,,40.695663,141.157877,338_01,,0,
338_02,,下川向,,40.695723,141.157898,338_02,,0,
4_01,,官庁街通,,40.616163,141.212539,4_01,,0,
4_02,,官庁街通,,40.615659,141.212716,4_02,,0,
5_01,,十和田市中央,,40.613311,141.214756,5_01,,0,
5_02,,十和田市中央,,40.61358,141.214332,5_02,,0,
6_01,,三丁目,,40.612495,141.215399,6_01,,0,
6_02,,三丁目,,40.612343,141.215293,6_02,,0,
7_01,,一丁目,,40.610563,141.216888,7_01,,0,
7_02,,一丁目,,40.610938,141.21637,7_02,,0,
87_01,,ひがし野団地,,40.626819,141.224105,87_01,,0,
87_02,,ひがし野団地,,40.626726,141.224057,87_02,,0,
88_01,,工業高校,,40.627642,141.230225,88_01,,0,
88_02,,工業高校,,40.627171,141.227604,88_02,,0,
89_01,,北里大学通,,40.628462,141.235245,89_01,,0,
89_02,,北里大学通,,40.628544,141.235993,89_02,,0,
9_02,,中央モータースクール,,40.614041,141.231258,9_02,,0,
9_03,,中央モータースクール,,40.613064,141.23151,9_03,,0,
90_01,,藤高農場,,40.629727,141.242311,90_01,,0,
90_02,,藤高農場,,40.629652,141.242322,90_02,,0,
91_01,,高清水本村,,40.632929,141.252369,91_01,,0,
91_02,,高清水本村,,40.632876,141.252463,91_02,,0,
92_01,,高清水,,40.63488,141.258294,92_01,,0,
92_02,,高清水,,40.634899,141.258696,92_02,,0,
