stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
476_02,,大津四丁目,,40.685582,141.420063,476_02,,0,
477_01,,鹿中,,40.686929,141.425051,477_01,,0,
477_02,,鹿中,,40.686783,141.424746,477_02,,0,
478_01,,南鹿中,,40.684239,141.426854,478_01,,0,
478_02,,南鹿中,,40.6843,141.426688,478_02,,0,
479_01,,三川目小学校前,,40.681102,141.42864,479_01,,0,
479_02,,三川目小学校前,,40.681082,141.428522,479_02,,0,
48_01,,前山,,40.562099,141.447477,48_01,,0,
48_02,,前山,,40.561418,141.447992,48_02,,0,
480_01,,三沢漁港入口,,40.676796,141.429992,480_01,,0,
480_02,,三沢漁港入口,,40.676812,141.429874,480_02,,0,
481_01,,三川目,,40.671827,141.4307,481_01,,0,
481_02,,三川目,,40.671737,141.430539,481_02,,0,
482_01,,北二川目,,40.663159,141.432932,482_01,,0,
482_02,,北二川目,,40.663843,141.432497,482_02,,0,
483_01,,二川目,,40.660414,141.434235,483_01,,0,
483_02,,二川目,,40.660707,141.433989,483_02,,0,
484_01,,二川目局前,,40.654455,141.438366,484_01,,0,
484_02,,二川目局前,,40.654834,141.437996,484_02,,0,
485_01,,南二川目,,40.651569,141.438114,485_01,,0,
485_02,,南二川目,,40.651381,141.438017,485_02,,0,
486_01,,甲洋小学校,,40.645139,141.439745,486_01,,0,
486_02,,甲洋小学校,,40.645122,141.439643,486_02,,0,
487_01,,北一川目,,40.642602,141.44107,487_01,,0,
487_02,,北一川目,,40.642708,141.440914,487_02,,0,
488_01,,一川目,,40.636036,141.44211,488_01,,0,
488_02,,一川目,,40.635845,141.441794,488_02,,0,
489_01,,南一川目,,40.630586,141.437229,489_01,,0,
489_02,,南一川目,,40.630842,141.437304,489_02,,0,
49_01,,桔梗野小学校通,,40.560521,141.44906,49_01,,0,
49_02,,桔梗野小学校通,,40.560443,141.448979,49_02,,0,
490_01,,豊栄入口,,40.621379,141.430545,490_01,,0,
490_02,,豊栄入口,,40.62142,141.430432,490_02,,0,
491_01,,百石中学校前,,40.616457,141.428994,491_01,,0,
491_02,,百石中学校前,,40.6164,141.42886,491_02,,0,
492_01,,黒坂団地,,40.613603,141.429563,492_01,,0,
492_02,,黒坂団地,,40.613518,141.42952,492_02,,0,
493_01,,洋光台北口,,40.614337,141.435051,493_01,,0,
493_02,,洋光台北口,,40.614268,141.434976,493_02,,0,
494_01,,洋光台中央,,40.61283,141.43946,494_01,,0,
494_02,,洋光台中央,,40.612797,141.439337,494_02,,0,
495_01,,洋光台南口,,40.611277,141.442518,495_01,,0,
495_02,,洋光台南口,,40.611179,141.442421,495_02,,0,
496_01,,日ヶ久保,,40.60461,141.440345,496_01,,0,
496_02,,日ヶ久保,,40.604724,141.440227,496_02,,0,
497_01,,保健福祉センター,,40.603876,141.434107,497_01,,0,
497_02,,保健福祉センター,,40.603994,141.434391,497_02,,0,
498_01,,石田温泉病院前,,40.602794,141.429676,498_01,,0,
498_02,,石田温泉病院前,,40.60288,141.429525,498_02,,0,
499_01,,市立病院,,40.669429,141.390703,499_01,,0,
5_01,,十和田市中央,,40.613311,141.214756,5_01,,0,
5_02,,十和田市中央,,40.61358,141.214332,5_02,,0,
50_01,,桔梗野,,40.558609,141.450916,50_01,,0,
50_02,,桔梗野,,40.558894,141.45053,50_02,,0,
500_01,,泉町東,,40.666951,141.382844,500_01,,0,
500_02,,泉町東,,40.667203,141.381814,500_02,,0,
